Type,Date,Price
Global Bond Fund,12/1/2007,100
Global Bond Fund,12/2/2007,100
Global Bond Fund,12/3/2007,100
Global Bond Fund,12/4/2007,100
Global Bond Fund,12/5/2007,99.96
Global Bond Fund,12/6/2007,99.39
Global Bond Fund,12/7/2007,99.16
Global Bond Fund,12/8/2007,99.16
Global Bond Fund,12/9/2007,99.16
Global Bond Fund,12/10/2007,98.95
Global Bond Fund,12/11/2007,99.33
Global Bond Fund,12/12/2007,99.07
Global Bond Fund,12/13/2007,99.13
Global Bond Fund,12/14/2007,98.49
Global Bond Fund,12/15/2007,98.49
Global Bond Fund,12/16/2007,98.49
Global Bond Fund,12/17/2007,97.88
Global Bond Fund,12/18/2007,97.92
Global Bond Fund,12/19/2007,98.06
Global Bond Fund,12/20/2007,97.98
Global Bond Fund,12/21/2007,97.53
Global Bond Fund,12/22/2007,97.53
Global Bond Fund,12/23/2007,97.53
Global Bond Fund,12/24/2007,97.48
Global Bond Fund,12/25/2007,97.48
Global Bond Fund,12/26/2007,97.48
Global Bond Fund,12/27/2007,97.67
Global Bond Fund,12/28/2007,98.6
Global Bond Fund,12/29/2007,98.6
Global Bond Fund,12/30/2007,98.6
Global Bond Fund,12/31/2007,99.66
Global Bond Fund,1/1/2008,99.66
Global Bond Fund,1/2/2008,99.83
Global Bond Fund,1/3/2008,100.69
Global Bond Fund,1/4/2008,100.89
Global Bond Fund,1/5/2008,100.89
Global Bond Fund,1/6/2008,100.89
Global Bond Fund,1/7/2008,100.96
Global Bond Fund,1/8/2008,100.68
Global Bond Fund,1/9/2008,100.89
Global Bond Fund,1/10/2008,100.47
Global Bond Fund,1/11/2008,101
Global Bond Fund,1/12/2008,101
Global Bond Fund,1/13/2008,101
Global Bond Fund,1/14/2008,101.31
Global Bond Fund,1/15/2008,101.85
Global Bond Fund,1/16/2008,101.84
Global Bond Fund,1/17/2008,101.66
Global Bond Fund,1/18/2008,101.58
Global Bond Fund,1/19/2008,101.58
Global Bond Fund,1/20/2008,101.58
Global Bond Fund,1/21/2008,101.48
Global Bond Fund,1/22/2008,101.11
Global Bond Fund,1/23/2008,101.57
Global Bond Fund,1/24/2008,101.08
Global Bond Fund,1/25/2008,101.78
Global Bond Fund,1/26/2008,101.78
Global Bond Fund,1/27/2008,101.78
Global Bond Fund,1/28/2008,101.71
Global Bond Fund,1/29/2008,101.68
Global Bond Fund,1/30/2008,101.67
Global Bond Fund,1/31/2008,102.21
Global Bond Fund,2/1/2008,102.32
Global Bond Fund,2/2/2008,102.32
Global Bond Fund,2/3/2008,102.32
Global Bond Fund,2/4/2008,101.94
Global Bond Fund,2/5/2008,102.35
Global Bond Fund,2/6/2008,101.72
Global Bond Fund,2/7/2008,101.72
Global Bond Fund,2/8/2008,101.72
Global Bond Fund,2/9/2008,101.72
Global Bond Fund,2/10/2008,101.72
Global Bond Fund,2/11/2008,101.32
Global Bond Fund,2/12/2008,100.92
Global Bond Fund,2/13/2008,101.01
Global Bond Fund,2/14/2008,100.53
Global Bond Fund,2/15/2008,100.97
Global Bond Fund,2/16/2008,100.97
Global Bond Fund,2/17/2008,100.97
Global Bond Fund,2/18/2008,100.92
Global Bond Fund,2/19/2008,100.65
Global Bond Fund,2/20/2008,100.86
Global Bond Fund,2/21/2008,100.9
Global Bond Fund,2/22/2008,101.31
Global Bond Fund,2/23/2008,101.31
Global Bond Fund,2/24/2008,101.31
Global Bond Fund,2/25/2008,101.17
Global Bond Fund,2/26/2008,101.05
Global Bond Fund,2/27/2008,101.67
Global Bond Fund,2/28/2008,102.69
Global Bond Fund,2/29/2008,103.7
Global Bond Fund,3/1/2008,103.7
Global Bond Fund,3/2/2008,103.7
Global Bond Fund,3/3/2008,104.11
Global Bond Fund,3/4/2008,103.99
Global Bond Fund,3/5/2008,103.67
Global Bond Fund,3/6/2008,104.08
Global Bond Fund,3/7/2008,104.63
Global Bond Fund,3/8/2008,104.63
Global Bond Fund,3/9/2008,104.63
Global Bond Fund,3/10/2008,105.14
Global Bond Fund,3/11/2008,104.66
Global Bond Fund,3/12/2008,104.59
Global Bond Fund,3/13/2008,105.41
Global Bond Fund,3/14/2008,105.88
Global Bond Fund,3/15/2008,105.88
Global Bond Fund,3/16/2008,105.88
Global Bond Fund,3/17/2008,107.26
Global Bond Fund,3/18/2008,106.62
Global Bond Fund,3/19/2008,106.24
Global Bond Fund,3/20/2008,106.11
Global Bond Fund,3/21/2008,106.11
Global Bond Fund,3/22/2008,106.11
Global Bond Fund,3/23/2008,106.11
Global Bond Fund,3/24/2008,106.11
Global Bond Fund,3/25/2008,104.86
Global Bond Fund,3/26/2008,105.64
Global Bond Fund,3/27/2008,106.25
Global Bond Fund,3/28/2008,106.07
Global Bond Fund,3/29/2008,106.07
Global Bond Fund,3/30/2008,106.07
