Type,Date,Price
GC Equity Fund,12/1/2004,100
GC Equity Fund,12/2/2004,99.99
GC Equity Fund,12/3/2004,99.99
GC Equity Fund,12/4/2004,99.99
GC Equity Fund,12/5/2004,99.99
GC Equity Fund,12/6/2004,99.94
GC Equity Fund,12/7/2004,99.9
GC Equity Fund,12/8/2004,99.84
GC Equity Fund,12/9/2004,99.83
GC Equity Fund,12/10/2004,99.82
GC Equity Fund,12/11/2004,99.82
GC Equity Fund,12/12/2004,99.82
GC Equity Fund,12/13/2004,99.82
GC Equity Fund,12/14/2004,99.82
GC Equity Fund,12/15/2004,100.01
GC Equity Fund,12/16/2004,99.33
GC Equity Fund,12/17/2004,99.42
GC Equity Fund,12/18/2004,99.42
GC Equity Fund,12/19/2004,99.42
GC Equity Fund,12/20/2004,99.6
GC Equity Fund,12/21/2004,99.59
GC Equity Fund,12/22/2004,99.41
GC Equity Fund,12/23/2004,99.98
GC Equity Fund,12/24/2004,100.07
GC Equity Fund,12/25/2004,100.07
GC Equity Fund,12/26/2004,100.07
GC Equity Fund,12/27/2004,100.07
GC Equity Fund,12/28/2004,100.07
GC Equity Fund,12/29/2004,100.72
GC Equity Fund,12/30/2004,100.09
GC Equity Fund,12/31/2004,100.93
GC Equity Fund,1/1/2005,100.93
GC Equity Fund,1/2/2005,100.93
GC Equity Fund,1/3/2005,100.93
GC Equity Fund,1/4/2005,99.71
GC Equity Fund,1/5/2005,97.95
GC Equity Fund,1/6/2005,97.84
GC Equity Fund,1/7/2005,96.68
GC Equity Fund,1/8/2005,96.68
GC Equity Fund,1/9/2005,96.68
GC Equity Fund,1/10/2005,96.85
GC Equity Fund,1/11/2005,96.66
GC Equity Fund,1/12/2005,96.38
GC Equity Fund,1/13/2005,96.75
GC Equity Fund,1/14/2005,96.65
GC Equity Fund,1/15/2005,96.65
GC Equity Fund,1/16/2005,96.65
GC Equity Fund,1/17/2005,97.6
GC Equity Fund,1/18/2005,97.97
GC Equity Fund,1/19/2005,97.78
GC Equity Fund,1/20/2005,97.1
GC Equity Fund,1/21/2005,96.41
GC Equity Fund,1/22/2005,96.41
GC Equity Fund,1/23/2005,96.41
GC Equity Fund,1/24/2005,95.23
GC Equity Fund,1/25/2005,96.06
GC Equity Fund,1/26/2005,96.52
GC Equity Fund,1/27/2005,96.61
GC Equity Fund,1/28/2005,97.09
GC Equity Fund,1/29/2005,97.09
GC Equity Fund,1/30/2005,97.09
GC Equity Fund,1/31/2005,98.37
GC Equity Fund,2/1/2005,98
GC Equity Fund,2/2/2005,98.45
GC Equity Fund,2/3/2005,98.55
GC Equity Fund,2/4/2005,98.93
GC Equity Fund,2/5/2005,98.93
GC Equity Fund,2/6/2005,98.93
GC Equity Fund,2/7/2005,100.15
GC Equity Fund,2/8/2005,100.14
GC Equity Fund,2/9/2005,100.14
GC Equity Fund,2/10/2005,100.14
GC Equity Fund,2/11/2005,100.14
GC Equity Fund,2/12/2005,100.14
GC Equity Fund,2/13/2005,100.14
GC Equity Fund,2/14/2005,101.23
GC Equity Fund,2/15/2005,101.42
GC Equity Fund,2/16/2005,101.32
GC Equity Fund,2/17/2005,100.56
GC Equity Fund,2/18/2005,101.33
GC Equity Fund,2/19/2005,101.33
GC Equity Fund,2/20/2005,101.33
GC Equity Fund,2/21/2005,101.63
GC Equity Fund,2/22/2005,101.63
GC Equity Fund,2/23/2005,101.63
GC Equity Fund,2/24/2005,102.66
GC Equity Fund,2/25/2005,104.18
GC Equity Fund,2/26/2005,104.18
GC Equity Fund,2/27/2005,104.18
GC Equity Fund,2/28/2005,104.67
GC Equity Fund,3/1/2005,105.05
GC Equity Fund,3/2/2005,104.1
GC Equity Fund,3/3/2005,104.09
GC Equity Fund,3/4/2005,103.33
GC Equity Fund,3/5/2005,103.33
GC Equity Fund,3/6/2005,103.33
GC Equity Fund,3/7/2005,103.42
GC Equity Fund,3/8/2005,103.91
GC Equity Fund,3/9/2005,104.7
GC Equity Fund,3/10/2005,104.2
GC Equity Fund,3/11/2005,104.69
GC Equity Fund,3/12/2005,104.69
GC Equity Fund,3/13/2005,104.69
GC Equity Fund,3/14/2005,104.2
GC Equity Fund,3/15/2005,102.69
GC Equity Fund,3/16/2005,102.97
GC Equity Fund,3/17/2005,103.16
GC Equity Fund,3/18/2005,103.16
GC Equity Fund,3/19/2005,103.16
GC Equity Fund,3/20/2005,103.16
GC Equity Fund,3/21/2005,103.26
GC Equity Fund,3/22/2005,102.18
GC Equity Fund,3/23/2005,100.71
GC Equity Fund,3/24/2005,101
GC Equity Fund,3/25/2005,101
GC Equity Fund,3/26/2005,101
GC Equity Fund,3/27/2005,101
GC Equity Fund,3/28/2005,101
GC Equity Fund,3/29/2005,100.1
GC Equity Fund,3/30/2005,100
GC Equity Fund,3/31/2005,100.49
GC Equity Fund,4/1/2005,101.29
GC Equity Fund,4/2/2005,101.29
GC Equity Fund,4/3/2005,101.29
GC Equity Fund,4/4/2005,101.49
GC Equity Fund,4/5/2005,101.49
GC Equity Fund,4/6/2005,101.29
GC Equity Fund,4/7/2005,101.68
GC Equity Fund,4/8/2005,102.37
GC Equity Fund,4/9/2005,102.37
GC Equity Fund,4/10/2005,102.37
GC Equity Fund,4/11/2005,101.98
GC Equity Fund,4/12/2005,102.17
GC Equity Fund,4/13/2005,102.55
GC Equity Fund,4/14/2005,102.45
GC Equity Fund,4/15/2005,101.28
GC Equity Fund,4/16/2005,101.28
GC Equity Fund,4/17/2005,101.28
GC Equity Fund,4/18/2005,98.65
GC Equity Fund,4/19/2005,99.84
GC Equity Fund,4/20/2005,99.25
GC Equity Fund,4/21/2005,99.83
GC Equity Fund,4/22/2005,100.62
GC Equity Fund,4/23/2005,100.62
GC Equity Fund,4/24/2005,100.62
GC Equity Fund,4/25/2005,100.99
GC Equity Fund,4/26/2005,101.92
GC Equity Fund,4/27/2005,101.42
GC Equity Fund,4/28/2005,102.12
GC Equity Fund,4/29/2005,101.82
GC Equity Fund,4/30/2005,101.82
GC Equity Fund,5/1/2005,101.82
GC Equity Fund,5/2/2005,101.82
GC Equity Fund,5/3/2005,102.31
GC Equity Fund,5/4/2005,102.41
GC Equity Fund,5/5/2005,103.88
GC Equity Fund,5/6/2005,104.17
GC Equity Fund,5/7/2005,104.17
GC Equity Fund,5/8/2005,104.17
GC Equity Fund,5/9/2005,104.66
GC Equity Fund,5/10/2005,104.36
GC Equity Fund,5/11/2005,103.37
GC Equity Fund,5/12/2005,103.47
GC Equity Fund,5/13/2005,103.27
GC Equity Fund,5/14/2005,103.27
GC Equity Fund,5/15/2005,103.27
GC Equity Fund,5/16/2005,103.27
GC Equity Fund,5/17/2005,101.5
GC Equity Fund,5/18/2005,101.7
GC Equity Fund,5/19/2005,102.39
GC Equity Fund,5/20/2005,102.39
GC Equity Fund,5/21/2005,102.39
GC Equity Fund,5/22/2005,102.39
GC Equity Fund,5/23/2005,101.3
GC Equity Fund,5/24/2005,101.89
GC Equity Fund,5/25/2005,101.3
GC Equity Fund,5/26/2005,101.39
