Type,Date,Price
NA Equity Fund,1/1/2002,100
NA Equity Fund,1/2/2002,100
NA Equity Fund,1/31/2002,94.13
NA Equity Fund,2/1/2002,95.4
NA Equity Fund,2/28/2002,92.38
NA Equity Fund,3/1/2002,92.09
NA Equity Fund,3/19/2002,97.83
NA Equity Fund,3/20/2002,98.43
NA Equity Fund,3/21/2002,97.06
NA Equity Fund,3/22/2002,97.13
NA Equity Fund,3/23/2002,96.94
NA Equity Fund,3/24/2002,96.94
NA Equity Fund,3/25/2002,96.94
NA Equity Fund,3/26/2002,96.5
NA Equity Fund,3/27/2002,96.69
NA Equity Fund,3/28/2002,97.17
NA Equity Fund,3/29/2002,97.07
NA Equity Fund,3/30/2002,97.07
NA Equity Fund,3/31/2002,97.07
NA Equity Fund,4/1/2002,97.07
NA Equity Fund,4/2/2002,97.07
NA Equity Fund,4/3/2002,96.34
NA Equity Fund,4/4/2002,95.57
NA Equity Fund,4/5/2002,95.3
NA Equity Fund,4/6/2002,95.3
NA Equity Fund,4/7/2002,95.3
NA Equity Fund,4/8/2002,95.3
NA Equity Fund,4/9/2002,95.44
NA Equity Fund,4/10/2002,94.62
NA Equity Fund,4/11/2002,95.73
NA Equity Fund,4/12/2002,93.19
NA Equity Fund,4/13/2002,93.88
NA Equity Fund,4/14/2002,93.88
NA Equity Fund,4/15/2002,93.88
NA Equity Fund,4/16/2002,93.21
NA Equity Fund,4/17/2002,95.23
NA Equity Fund,4/18/2002,95.13
NA Equity Fund,4/19/2002,95.31
NA Equity Fund,4/20/2002,95.31
NA Equity Fund,4/21/2002,95.31
NA Equity Fund,4/22/2002,95.31
NA Equity Fund,4/23/2002,93.59
NA Equity Fund,4/24/2002,93.13
NA Equity Fund,4/25/2002,92.41
NA Equity Fund,4/26/2002,91.79
NA Equity Fund,4/27/2002,90.46
NA Equity Fund,4/28/2002,90.46
NA Equity Fund,4/29/2002,90.46
NA Equity Fund,4/30/2002,89.33
NA Equity Fund,5/1/2002,90.99
NA Equity Fund,5/2/2002,90.99
NA Equity Fund,5/3/2002,89.96
NA Equity Fund,5/4/2002,88.3
NA Equity Fund,5/5/2002,88.3
NA Equity Fund,5/6/2002,88.3
NA Equity Fund,5/7/2002,87.92
NA Equity Fund,5/8/2002,91.63
NA Equity Fund,5/9/2002,90.13
NA Equity Fund,5/10/2002,88.62
NA Equity Fund,5/11/2002,90.14
NA Equity Fund,5/12/2002,90.14
NA Equity Fund,5/13/2002,90.14
NA Equity Fund,5/14/2002,92.14
NA Equity Fund,5/15/2002,91.85
NA Equity Fund,5/16/2002,92.29
NA Equity Fund,5/17/2002,92.9
NA Equity Fund,5/18/2002,90.88
NA Equity Fund,5/19/2002,90.88
NA Equity Fund,5/20/2002,90.88
NA Equity Fund,5/21/2002,90.88
NA Equity Fund,5/22/2002,91.52
NA Equity Fund,5/23/2002,92.56
NA Equity Fund,5/24/2002,91.31
NA Equity Fund,5/25/2002,91.31
NA Equity Fund,5/26/2002,91.31
NA Equity Fund,5/27/2002,91.31
NA Equity Fund,5/28/2002,90.42
NA Equity Fund,5/29/2002,89.63
NA Equity Fund,5/30/2002,89.43
NA Equity Fund,5/31/2002,89.72
NA Equity Fund,6/1/2002,86.99
NA Equity Fund,6/2/2002,86.99
NA Equity Fund,6/3/2002,86.99
NA Equity Fund,6/4/2002,87.09
NA Equity Fund,6/5/2002,88.07
NA Equity Fund,6/6/2002,86.41
NA Equity Fund,6/7/2002,85.79
NA Equity Fund,6/8/2002,85.78
NA Equity Fund,6/9/2002,85.78
NA Equity Fund,6/10/2002,85.78
NA Equity Fund,6/11/2002,84.51
NA Equity Fund,6/12/2002,84.99
NA Equity Fund,6/13/2002,84.7
NA Equity Fund,6/14/2002,84.6
NA Equity Fund,6/15/2002,87.06
NA Equity Fund,6/16/2002,87.06
NA Equity Fund,6/17/2002,87.06
NA Equity Fund,6/18/2002,86.96
NA Equity Fund,6/19/2002,85.47
NA Equity Fund,6/20/2002,84.07
NA Equity Fund,6/21/2002,82.22
NA Equity Fund,6/22/2002,82.82
NA Equity Fund,6/23/2002,82.82
NA Equity Fund,6/24/2002,82.82
NA Equity Fund,6/25/2002,81.33
NA Equity Fund,6/26/2002,80.84
NA Equity Fund,6/27/2002,82.51
NA Equity Fund,6/28/2002,82.41
NA Equity Fund,6/29/2002,79
NA Equity Fund,6/30/2002,79
