Type,Date,Price
Asia Pacific Equity Fund,8/7/2006,10.0000
Asia Pacific Equity Fund,8/8/2006,9.9990
Asia Pacific Equity Fund,8/9/2006,9.9790
Asia Pacific Equity Fund,8/10/2006,9.9580
Asia Pacific Equity Fund,8/11/2006,9.9470
Asia Pacific Equity Fund,8/14/2006,9.9660
Asia Pacific Equity Fund,8/15/2006,9.9450
Asia Pacific Equity Fund,8/16/2006,10.0350
Asia Pacific Equity Fund,8/17/2006,10.1040
Asia Pacific Equity Fund,8/18/2006,10.1040
Asia Pacific Equity Fund,8/21/2006,10.0430
Asia Pacific Equity Fund,8/22/2006,10.1020
Asia Pacific Equity Fund,8/23/2006,10.0520
Asia Pacific Equity Fund,8/24/2006,9.9410
Asia Pacific Equity Fund,8/25/2006,9.9710
Asia Pacific Equity Fund,8/28/2006,9.9400
Asia Pacific Equity Fund,8/29/2006,10.0500
Asia Pacific Equity Fund,8/30/2006,10.0690
Asia Pacific Equity Fund,8/31/2006,10.1190
Asia Pacific Equity Fund,9/1/2006,10.1390
Asia Pacific Equity Fund,9/4/2006,10.2870
Asia Pacific Equity Fund,9/5/2006,10.3070
Asia Pacific Equity Fund,9/6/2006,10.2470
Asia Pacific Equity Fund,9/7/2006,10.2160
Asia Pacific Equity Fund,9/8/2006,10.1960
Asia Pacific Equity Fund,9/11/2006,10.0750
Asia Pacific Equity Fund,9/12/2006,10.0240
Asia Pacific Equity Fund,9/13/2006,10.0840
Asia Pacific Equity Fund,9/14/2006,10.1440
Asia Pacific Equity Fund,9/15/2006,10.1530
Asia Pacific Equity Fund,9/18/2006,10.3020
Asia Pacific Equity Fund,9/19/2006,10.3020
Asia Pacific Equity Fund,9/20/2006,10.2410
Asia Pacific Equity Fund,9/21/2006,10.2610
Asia Pacific Equity Fund,9/22/2006,10.1910
Asia Pacific Equity Fund,9/25/2006,10.2000
Asia Pacific Equity Fund,9/26/2006,10.1790
Asia Pacific Equity Fund,9/28/2006,10.3080
Asia Pacific Equity Fund,9/29/2006,10.3080
Asia Pacific Equity Fund,10/3/2006,10.3470
Asia Pacific Equity Fund,10/4/2006,10.2360
Asia Pacific Equity Fund,10/5/2006,10.3360
Asia Pacific Equity Fund,10/6/2006,10.3350
Asia Pacific Equity Fund,10/9/2006,10.2440
Asia Pacific Equity Fund,10/10/2006,10.3140
Asia Pacific Equity Fund,10/11/2006,10.3340
Asia Pacific Equity Fund,10/12/2006,10.3630
