Type,Date,Price
Growth Fund,12/1/2000,10.0000
Growth Fund,12/4/2000,10.0390
Growth Fund,12/5/2000,10.1210
Growth Fund,12/6/2000,10.1960
Growth Fund,12/7/2000,10.1590
Growth Fund,12/8/2000,10.2190
Growth Fund,12/11/2000,10.3150
Growth Fund,12/12/2000,10.2780
Growth Fund,12/13/2000,10.3210
Growth Fund,12/14/2000,10.2370
Growth Fund,12/15/2000,10.0630
Growth Fund,12/18/2000,10.0840
Growth Fund,12/19/2000,10.0740
Growth Fund,12/20/2000,9.9590
Growth Fund,12/21/2000,9.8840
Growth Fund,12/22/2000,9.9550
Growth Fund,12/27/2000,10.0580
Growth Fund,12/28/2000,10.0960
Growth Fund,12/29/2000,10.1540
Growth Fund,1/2/2001,10.0690
Growth Fund,1/3/2001,10.0280
Growth Fund,1/4/2001,10.2000
Growth Fund,1/5/2001,10.2530
Growth Fund,1/8/2001,10.1910
Growth Fund,1/9/2001,10.1380
Growth Fund,1/10/2001,10.0960
Growth Fund,1/11/2001,10.0190
Growth Fund,1/12/2001,10.0590
Growth Fund,1/15/2001,10.0430
Growth Fund,1/16/2001,10.0830
Growth Fund,1/17/2001,10.1040
Growth Fund,1/18/2001,10.2080
Growth Fund,1/19/2001,10.2670
Growth Fund,1/22/2001,10.2970
Growth Fund,1/23/2001,10.2810
Growth Fund,1/29/2001,10.2290
Growth Fund,1/30/2001,10.2420
Growth Fund,1/31/2001,10.3310
Growth Fund,2/1/2001,10.3840
Growth Fund,2/2/2001,10.2740
Growth Fund,2/5/2001,10.1980
Growth Fund,2/6/2001,10.1980
Growth Fund,2/7/2001,10.1730
Growth Fund,2/8/2001,10.1040
Growth Fund,2/9/2001,10.0660
Growth Fund,2/12/2001,10.0800
Growth Fund,2/13/2001,10.0810
Growth Fund,2/14/2001,10.0530
Growth Fund,2/15/2001,10.0380
Growth Fund,2/16/2001,9.9990
Growth Fund,2/19/2001,9.9640
Growth Fund,2/20/2001,9.9370
Growth Fund,2/21/2001,9.8840
Growth Fund,2/22/2001,9.8100
Growth Fund,2/23/2001,9.8060
Growth Fund,2/26/2001,9.8540
Growth Fund,2/27/2001,9.8050
Growth Fund,2/28/2001,9.7680
Growth Fund,3/1/2001,9.6680
Growth Fund,3/2/2001,9.5690
Growth Fund,3/5/2001,9.5990
Growth Fund,3/6/2001,9.7060
Growth Fund,3/7/2001,9.7030
Growth Fund,3/8/2001,9.6990
Growth Fund,3/9/2001,9.6140
Growth Fund,3/12/2001,9.3580
Growth Fund,3/13/2001,9.2030
